Season,Episode,Doctor,Companion,EpCode,Episode Title,Aired,Year,DoctorActor,Showrunner,Director,Writer,UK Viewers,AI,IMDb Rating,Trakt
1,1,Nine,Rose,01.01,Rose,26 March 2005,2005,Christopher Eccleston,Russel T. Davies,Keith Boak,Russell T Davies,10.81,76,7.5,82
1,2,Nine,Rose,01.02,The End of the World,2 April 2005,2005,Christopher Eccleston,Russel T. Davies,Euros Lyn,Russell T Davies,7.97,76,7.6,77
1,3,Nine,Rose,01.03,The Unquiet Dead,9 April 2005,2005,Christopher Eccleston,Russel T. Davies,Euros Lyn,Mark Gatiss,8.86,80,7.6,76
1,4,Nine,Rose,01.04,Aliens of London (1),16 April 2005,2005,Christopher Eccleston,Russel T. Davies,Keith Boak,Russell T Davies,7.63,82,7,75
1,5,Nine,Rose,01.05,World War Three (2),23 April 2005,2005,Christopher Eccleston,Russel T. Davies,Keith Boak,Russell T Davies,7.98,81,7,75
1,6,Nine,Rose,01.06,Dalek,30 April 2005,2005,Christopher Eccleston,Russel T. Davies,Joe Ahearne,Robert Shearman,8.63,84,8.7,82
1,7,Nine,Rose,01.07,The Long Game,7 May 2005,2005,Christopher Eccleston,Russel T. Davies,Brian Grant,Russell T Davies,8.01,81,7.1,76
1,8,Nine,Rose,01.08,Father's Day,14 May 2005,2005,Christopher Eccleston,Russel T. Davies,Joe Ahearne,Paul Cornell,8.06,83,8.4,80
1,9,Nine,Rose,01.09,The Empty Child (1),21 May 2005,2005,Christopher Eccleston,Russel T. Davies,James Hawes,Steven Moffat,7.11,84,9.2,84
1,10,Nine,Rose,01.10,The Doctor Dances (2),28 May 2005,2005,Christopher Eccleston,Russel T. Davies,James Hawes,Steven Moffat,6.86,85,9.1,85
1,11,Nine,Rose,01.11,Boom Town,4 June 2005,2005,Christopher Eccleston,Russel T. Davies,Joe Ahearne,Russell T Davies,7.68,82,7.1,76
1,12,Nine,Rose,01.12,Bad Wolf (1),11 June 2005,2005,Christopher Eccleston,Russel T. Davies,Joe Ahearne,Russell T Davies,6.81,86,8.7,84
1,13,Nine,Rose,01.13,The Parting of the Ways (2),18 June 2005,2005,Christopher Eccleston,Russel T. Davies,Joe Ahearne,Russell T Davies,6.91,89,9.1,87
2,0,Ten,Rose,02.00,The Christmas Invasion,25 December 2005,2005,David Tennant,Russel T. Davies,James Hawes,Russell T Davies,9.84,84,8.1,
2,1,Ten,Rose,02.01,New Earth,15 April 2006,2006,David Tennant,Russel T. Davies,James Hawes,Russell T Davies,8.62,85,7.4,80
2,2,Ten,Rose,02.02,Tooth and Claw,22 April 2006,2006,David Tennant,Russel T. Davies,Euros Lyn,Russell T Davies,9.24,83,7.8,79
2,3,Ten,Rose,02.03,School Reunion,29 April 2006,2006,David Tennant,Russel T. Davies,James Hawes,Toby Whithouse,8.31,85,8.3,79
2,4,Ten,Rose,02.04,The Girl in the Fireplace,6 May 2006,2006,David Tennant,Russel T. Davies,Euros Lyn,Steven Moffat,7.9,84,9.3,85
2,5,Ten,Rose,02.05,Rise of the Cybermen (1),13 May 2006,2006,David Tennant,Russel T. Davies,Graeme Harper,Tom MacRae,9.22,86,7.8,79
2,6,Ten,Rose,02.06,The Age of Steel (2),20 May 2006,2006,David Tennant,Russel T. Davies,Graeme Harper,Tom MacRae,7.63,86,7.9,80
2,7,Ten,Rose,02.07,The Idiot's Lantern,27 May 2006,2006,David Tennant,Russel T. Davies,Euros Lyn,Mark Gatiss,6.76,84,6.7,76
2,8,Ten,Rose,02.08,The Impossible Planet (1),3 June 2006,2006,David Tennant,Russel T. Davies,James Strong,Matt Jones,6.32,85,8.7,83
2,9,Ten,Rose,02.09,The Satan Pit (2),10 June 2006,2006,David Tennant,Russel T. Davies,James Strong,Matt Jones,6.08,86,8.8,85
